"dvit","circ","ar","iPC1","iPC2","iPC3","oPC1","oPC2","oPC3","symPC1","symPC2","symPC3","symPC4","symPC5","A","B","C","r","Spri","S","lowSup","lowInf","highSup","highInf"
"DVIT_1321",0.234875,1.0815,18.6246,-17.1773,-16.09,-4.64547,-22.2104,-13.1199,0.0486025,0.0440575,-0.02072,-0.00634125,-0.00284838,0,3,5,2,6,9,4,1,4,2
"DVIT_1330",0.1765,1.09925,0.685296,5.3374,-6.72965,-43.6003,-81.9029,10.2442,0.0470375,0.0243699,0.0109412,0.00469125,0.0140098,0,3,5,2,5,7,4,2,5,3
"DVIT_1332",0.30675,1.1135,-4.66495,0.0720115,-3.08851,-191.924,-72.3025,-0.795386,0.0659575,0.0032825,-0.0254,-0.0306788,0.0057075,0,3,5,2,5,7,2,1,2,1
"DVIT_1335",0.225875,1.091,-3.00227,-2.00897,30.0506,17.5955,160.281,-14.2725,0.01055,0.014805,0.0178507,0.0497113,-0.00172963,1,3,6,2,6,9,4,2,4,2
"DVIT_1338",0.207875,1.10887,34.3203,-3.32551,-4.84439,19.18,-36.5196,24.0477,-0.01905,-0.0242625,-0.0090625,-0.00461125,-0.020375,0,2,5,3,4,6,5,3,5,3
"DVIT_1350",0.184625,1.075,3.81081,-5.84362,0.75793,85.5705,-5.25755,6.45149,-0.0429675,0.0256625,-0.0095375,0.051225,0.004815,1,3,5,3,5,8,5,4,5,4
"DVIT_151",0.383625,1.09175,17.4484,3.31023,19.5298,-223.687,122.831,-29.8331,0.112363,0.0232562,0.0171472,0.0330413,0.004817,0,3,5,2,5,8,6,4,6,4
"DVIT_1657",0.17,1.05025,-9.72274,26.407,-1.44509,28.8642,38.8761,28.9716,0.079375,0.0346625,0.00949438,0.00268325,-0.0183812,0,2,5,2,4,6,3,1,5,3
"DVIT_1982",0.13925,1.15275,19.4951,5.3766,-1.6902,33.8921,-50.1194,50.4056,-0.0165375,-0.0235113,-0.0258088,-0.0256415,-0.0271375,0,3,5,2,6,8,6,4,6,4
"DVIT_2111",0.2005,1.08925,9.93238,16.09,-1.02512,66.7587,48.0983,-30.7457,-0.0512505,0.0395375,0.01534,-0.00913875,0.00165375,1,4,6,3,3,5,5,2,5,2
"DVIT_2162",0.21225,1.10675,-32.5833,16.0336,-13.8836,-90.997,-33.8774,43.3285,0.0676375,-0.0007025,-0.0152375,0.00316,0.0176425,0,3,5,2,6,8,6,4,6,4
"DVIT_2333",0.269875,1.12462,25.1868,8.28505,20.4739,-86.9554,92.3941,16.2931,0.0175,0.004075,0.0227437,0.00816125,-0.00180375,0,3,5,2,5,7,2,1,2,1
"DVIT_2337",0.16225,1.06875,-2.74201,14.8269,14.9259,164.311,84.8879,33.2103,-0.0648388,0.0168387,0.0237625,0.041405,-0.00022,1,3,6,3,6,9,6,5,6,5
"DVIT_2343",0.25525,1.0755,4.42181,8.47749,-14.6108,-111.751,86.3206,40.6842,0.09155,0.0270725,-0.00427625,0.0241698,-0.0059275,1,3,6,3,5,7,4,2,5,4
"DVIT_2648",0.196,1.10038,22.5895,10.3615,16.1349,-89.1425,68.5937,30.9659,0.086575,-0.00909125,0.047825,-0.0077,0.0052865,0,2,5,2,5,7,2,1,4,1
"DVIT_2650",0.224,1.13325,-8.47924,5.8149,-3.29196,-76.4388,83.0127,39.0602,0.0658,-0.0032,-0.0126175,0.00898375,0.00178,1,3,6,3,5,7,4,2,5,4
"DVIT_2682",0.15325,1.08075,5.98373,-14.1712,-2.03806,113.929,-72.6706,19.5481,-0.0950125,-0.0123625,-0.027545,0.0207563,-0.01068,1,3,5,3,4,6,4,3,5,4
"DVIT_2756",0.22625,1.13275,-1.75448,9.04267,28.6684,20.1507,230.482,-218.483,0.0354225,-0.057025,0.052725,0.001725,-0.0047675,0,3,5,2,5,7,2,1,2,1
"DVIT_2759",0.194125,1.06212,-28.7371,20.1244,0.809528,-32.4565,28.124,-7.19283,0.054095,0.0136587,-0.00592625,0.0300363,0.0143725,1,3,5,3,6,9,5,2,5,2
"DVIT_2910",0.22125,1.09475,4.7737,14.2947,-16.1984,-26.9889,-29.696,20.6844,0.00080375,-0.003025,-0.0148675,0.0198525,0.0166775,1,3,6,3,5,7,4,2,5,4
"DVIT_2913",0.1845,1.1085,4.08962,2.1045,-4.93033,-97.2045,-13.3151,63.4703,0.0210437,-0.00472,-0.018585,-0.0358475,-0.00224625,0,3,5,2,5,7,4,2,5,3
"DVIT_3077",0.227,1.12262,9.81595,7.01683,5.4309,-111.25,86.372,1.63599,0.087675,0.0254888,0.0140187,0.0113162,0.0019925,0,3,5,2,6,8,6,4,6,4
"DVIT_3180",0.371375,1.08462,5.66227,-1.47783,-13.2491,-189.523,-95.9308,-0.287176,0.0814,0.0093775,0.0106838,-0.0044325,0.0160587,0,2,5,2,5,8,1,0,3,1
"DVIT_3181",0.307375,1.1315,17.903,9.16987,-3.26735,-148.603,-102.038,15.5612,0.0398875,-0.0188313,0.0217413,0.000725,0.04162,0,2,5,2,5,8,1,0,3,1
"DVIT_339",0.189375,1.1,-14.0443,6.28839,-4.89047,-27.243,17.4774,12.3584,0.0199925,0.0286187,-0.00530625,0.00527125,0.000290625,0,3,5,2,5,7,4,2,5,3
"DVIT_361",0.169,1.11488,19.0746,-22.6018,-9.36389,124.778,-101.466,-8.41428,-0.152625,0.0297863,-0.043825,0.00066,0.0156813,0,3,5,2,5,8,6,4,6,4
"DVIT_373",0.178125,1.03037,-17.7812,3.58654,21.821,206.006,204.487,-31.7576,-0.0866125,0.0637298,0.073975,0.017,-0.0093155,1,4,6,3,6,9,5,3,6,4
"DVIT_379",0.159,1.11213,-4.04704,11.6711,-4.0666,89.4664,-9.9826,71.7905,-0.0557787,-0.0108125,-0.017755,0.0188512,-0.00345537,0,3,5,2,5,8,6,4,6,4
"DVIT_383",0.163,1.099,-0.679468,3.517,-2.02436,79.6746,10.604,18.3877,-0.007875,0.011475,0.015565,-0.003675,-0.0131456,0,2,5,2,4,6,3,1,5,3
"DVIT_396",0.224125,1.09475,-34.2586,24.1958,0.392811,17.1481,65.4286,-194.349,0.0247875,-0.001175,0.049525,0.03345,0.0195725,1,3,5,3,6,9,5,2,5,2
"DVIT_424",0.149625,1.06487,-12.9213,3.38105,26.7489,103.373,180.545,-9.14058,-0.028065,0.0246688,0.0301875,0.042525,0.004915,0,3,6,3,6,8,5,3,5,3
"DVIT_465",0.17725,1.10237,15.469,7.78146,5.12699,-41.994,36.1364,36.1696,0.0327586,-0.0128313,-0.0061,0.0049145,0.00748375,0,2,5,2,5,7,4,3,5,4
"DVIT_466",0.16575,1.08925,-1.8009,17.1503,3.89018,59.9073,78.7372,42.5189,-0.0202125,0.058325,-0.0142,0.00654125,-0.00356937,0,2,5,2,5,7,4,3,5,4
"DVIT_468",0.19875,1.093,-2.50231,3.36581,11.7636,-59.5565,122.186,21.7023,0.00789375,0.0302087,0.0361925,0.006555,-3e-04,1,4,6,3,3,5,5,2,5,2
"DVIT_478",0.190375,1.07488,-1.29982,-0.358237,-3.82484,-30.8168,-18.7489,17.0466,0.0240625,0.00013375,-0.0093,0.00431063,-0.00388538,1,3,6,3,5,8,4,3,4,3
"DVIT_479",0.166,1.078,13.8824,-19.6978,1.22543,150.728,-31.6724,36.7366,-0.156763,0.0513175,-0.0123575,-0.0300062,-0.027875,0,3,5,2,5,8,3,1,4,2
"DVIT_482",0.2155,1.135,7.64669,-3.03516,-1.41319,-81.9367,-15.229,31.0208,0.0367275,-0.0012125,-0.03835,-0.0049775,-0.005105,0,3,5,2,5,8,3,1,4,2
"DVIT_487",0.28975,1.13075,21.6054,-31.7343,4.26651,-217.271,-39.9446,-23.9866,0.0638825,0.00719,-0.0326875,-0.0521062,-0.0080325,0,2,5,2,5,7,2,1,4,1
"DVIT_488",0.253125,1.09,-14.4689,-13.7555,-6.20647,-142.296,-31.9098,15.5015,0.119875,0.0061675,-0.0120296,0.00927388,0.0086575,0,2,5,2,4,5,3,1,5,2
"DVIT_496",0.236625,1.096,-4.79361,-8.23113,2.31785,-70.8735,48.306,-20.0537,0.0588375,-0.013795,0.027145,-0.010125,0.0204087,0,3,6,2,3,5,4,3,4,3
"DVIT_502",0.138375,1.06062,-19.9138,10.1976,-6.54225,190.846,-73.2411,19.7258,-0.0383,-0.0827125,-0.0438,-0.00807,0.00143375,1,3,6,3,5,7,4,2,5,4
"DVIT_503",0.1715,1.08838,5.67042,8.34396,7.80012,-26.5219,24.4231,19.0409,0.00020375,0.00364,0.0158163,0.010735,0.01978,0,3,6,3,5,7,4,2,4,2
"DVIT_517",0.17575,1.08925,-7.84273,24.2476,15.2408,-8.53762,138.778,32.7596,0.0330737,0.005745,0.025475,0.0369425,0.0113087,1,3,5,3,6,9,5,2,5,2
"DVIT_526",0.14925,1.118,28.7799,-4.73311,-4.59339,140.865,-53.978,25.0588,-0.102525,-0.014685,-0.020475,-0.00175,-0.00580225,0,3,5,2,6,9,4,1,4,2
"DVIT_535",0.26025,1.052,-30.5192,6.83664,-8.41204,-115.086,45.0621,0.809054,0.0721875,0.0187737,-0.0131225,0.00393125,0.0144912,0,3,5,2,6,9,4,1,4,2
"DVIT_577",0.201125,1.11312,-5.51438,1.49722,22.7583,39.3347,130.128,-44.0954,0.0019575,0.0272962,0.023315,0.00563625,-0.00923,0,3,6,3,6,8,5,3,5,3
"DVIT_588",0.16925,1.08113,-6.0673,8.19681,19.4874,17.8421,190.174,10.9075,0.028465,0.0195175,0.0130338,0.009,-0.00794375,0,3,6,3,6,8,5,3,5,3
"DVIT_594",0.19925,1.08537,19.2453,-0.155173,3.82497,-32.6688,-42.1707,5.13564,-0.00661375,0.054394,0.004925,-0.0172075,0.00401823,0,3,6,3,5,7,4,2,4,2
"DVIT_596",0.152,1.08913,2.89707,13.4724,10.1795,106.61,15.686,21.5371,-0.0559143,-0.00822571,0.0514429,0.0258871,0.0167714,0,3,6,3,5,7,4,2,4,2
"DVIT_624",0.30225,1.11488,7.62732,4.81822,1.51485,-196.599,4.63063,30.0325,0.147475,0.0248712,-0.000105375,0.0207625,0.00382875,1,3,6,2,5,7,2,1,2,1
"DVIT_625",0.19425,1.19712,12.3614,1.08417,-19.7488,31.2864,-139.156,55.2258,-0.061075,-0.0628787,-0.0522275,-0.0294075,-0.0212738,1,3,6,2,5,7,2,1,2,1
"DVIT_633",0.213875,1.10825,11.3747,-18.1308,0.0211253,-49.1588,-122.283,15.0447,-0.0905913,0.009685,-0.0189375,-0.0281487,0.015425,1,3,5,3,4,6,2,1,3,1
"DVIT_652",0.16425,1.0485,-2.94828,23.9648,15.152,102.743,159.895,10.2089,0.030915,-0.007535,0.021725,0.0361575,-0.0284,0,3,6,2,5,7,5,3,5,3
"DVIT_658",0.1675,1.08025,3.46348,3.14703,-5.54475,49.7572,-21.7875,40.8281,-0.0454125,-0.0240638,0.0051555,-0.0295012,-0.0168163,0,3,5,2,5,8,6,4,6,4
"DVIT_676",0.1425,1.08263,-3.65517,5.81515,0.838352,125.822,34.4084,23.3612,-0.0727875,0.00719,-0.0080375,0.0543125,0.01615,0,3,6,2,5,7,5,3,5,3
"DVIT_677",0.137875,1.07238,4.33657,10.6832,-1.72347,185.767,47.9479,-102.024,-0.0938625,-0.0293625,0.0154938,0.06305,-0.0137925,1,3,5,3,5,8,5,4,5,4
"DVIT_681",0.163875,1.07212,-6.0886,13.1006,0.826067,51.3449,-24.1632,41.3169,0.0127375,0.0187875,-0.0215,0.0257796,-0.0102225,1,3,5,3,5,8,5,4,5,4
"DVIT_687",0.28125,1.133,-6.68221,-3.63686,-6.12975,-219.133,-87.4064,-3.53736,0.116725,0.0152512,-0.01695,-0.0297263,0.00193125,0,3,5,2,5,7,2,1,2,1
"DVIT_688",0.2605,1.13762,-0.264635,-1.75585,-2.03447,-156.882,-77.069,0.546963,0.0478714,0.011469,-0.0416286,-0.0114886,0.00766857,0,3,5,2,5,7,2,1,2,1
"DVIT_689",0.1735,1.09587,0.258202,3.69663,15.963,226.211,113.977,-24.0333,-0.123962,0.0730725,0.03032,0.0328131,-0.002405,1,4,6,3,6,9,5,3,6,4
"DVIT_691",0.22,1.11287,3.20611,-16.9676,-3.189,-42.8082,-63.5386,-137.488,-0.0080125,0.00434875,-0.0302175,-0.00568,0.0292512,0,2,5,2,5,8,4,2,6,4
"DVIT_695",0.256625,1.13937,-10.3292,8.87419,-13.623,-108.601,-86.3105,28.5007,-0.00885,0.0048325,-0.0378988,-0.0451,0.00912112,0,2,5,2,4,6,1,1,1,1
"DVIT_710",0.19025,1.13225,18.8669,-6.74051,1.33045,53.4859,-47.1679,-113.182,-0.1393,0.0381763,0.00336125,-0.0420375,-0.009095,1,3,6,3,4,6,5,4,5,4
"DVIT_723",0.228125,1.0905,2.9637,1.56446,27.5016,36.283,166.923,-14.8771,-0.010875,0.000305,0.06957,0.00855625,-0.0128475,1,3,6,2,6,9,4,2,4,2
"DVIT_724",0.194875,1.07425,18.7204,31.8426,28.6696,36.8061,155.531,22.8018,0.016285,0.0599,0.0143338,0.0501125,-0.01774,1,3,6,2,6,9,4,2,4,2
"DVIT_726",0.2505,1.1455,0.464678,19.5157,-8.0392,-123.956,-115.254,28.9795,0.0449625,-0.01946,-0.0387688,-0.0161875,0.02616,0,2,5,2,4,6,1,1,1,1
"DVIT_733",0.24675,1.07388,1.34188,18.2054,23.2669,79.3073,225.359,-44.5643,0.017775,0.0131,0.0529125,0.036875,-0.0249625,1,3,6,3,6,9,4,3,4,3
"DVIT_736",0.18975,1.08688,-7.4567,-6.29906,15.7206,171.054,3.05404,-22.3949,-0.128688,0.00277,0.049425,0.020145,0.008575,0,3,6,2,5,8,2,1,2,1
"DVIT_738",0.303125,1.10087,1.71357,2.22569,21.9335,-121.118,143.817,-19.999,0.128325,-0.0107762,0.0604375,0.013865,-0.0141925,0,2,5,2,7,9,5,2,5,2
"DVIT_739",0.30175,1.14688,-12.5965,4.72624,28.7987,-120.374,209.913,-38.5771,0.151688,-0.00949,0.0712875,0.02765,0.0164012,0,2,5,2,7,9,5,2,5,2
"DVIT_740",0.270625,1.0635,-20.1843,14.6551,17.8339,-33.6788,191.233,-27.5754,0.0923375,-0.0325,0.05655,0.0310356,-0.0255786,0,2,5,2,7,9,5,2,5,2
"DVIT_745",0.207625,1.05888,15.8016,15.899,22.2208,-46.3521,81.5425,23.1082,0.0768988,-0.001325,0.0071425,0.0368625,-0.0196913,0,3,6,3,6,9,4,3,6,4
"DVIT_802",0.227625,1.1225,4.23481,17.6747,9.55765,-186.511,11.002,7.43302,0.070275,0.03222,-0.0384,0.017375,0.005036,1,3,5,3,4,6,2,1,3,1
"DVIT_803",0.164125,1.09425,-4.97653,7.9698,7.6667,85.4897,67.8909,5.15966,-0.0662225,0.0322812,0.0101125,0.0430437,0.0107375,0,3,6,2,5,7,5,3,5,3
"DVIT_816",0.3285,1.11325,-3.79446,-0.915653,4.76267,-245.672,-90.7875,-20.3573,0.148125,0.0071925,0.006175,-0.03,0.009245,0,3,5,2,5,7,2,1,2,1
"DVIT_825",0.278625,1.08025,-2.74611,-7.34695,9.49408,-151.175,102.362,5.52818,0.0820375,0.011325,0.012802,-0.00693125,-0.00853625,1,3,5,3,6,7,2,1,2,1
"DVIT_826",0.187125,1.14187,44.0518,-20.421,-14.3754,-10.282,-180.461,10.9606,-0.135107,0.0159,-0.046275,-0.0574787,0.000605,1,3,5,3,4,6,4,3,5,4
"DVIT_828",0.202125,1.09737,-8.60965,-4.1088,24.64,100.253,159.382,-15.0468,-0.046061,-0.0313625,0.080275,0.0227788,-0.00068625,0,3,6,2,6,8,5,4,5,4
"DVIT_838",0.29675,1.07612,6.14835,4.28404,5.69492,-228.754,-45.8016,-16.5514,0.172912,0.00011125,0.03535,-0.0104571,0.00446875,1,3,5,3,6,9,3,1,3,1
"DVIT_841",0.138375,1.07912,-5.67324,17.6178,9.78396,150.982,109.178,37.0132,-0.053325,0.019275,0.0517012,0.0306725,-0.0062275,0,2,5,2,5,7,4,3,5,4
"DVIT_848",0.18875,1.07137,-4.38769,6.50673,3.4978,-39.5075,-78.3277,35.5152,0.0430313,-0.0413563,0.0166313,0.00289125,0.00692375,1,3,5,3,5,8,5,4,5,4
"DVIT_853",0.166375,1.04588,-10.0482,1.76766,20.8621,129.093,72.7647,-25.3372,-0.0413875,-0.03975,0.063225,0.0418125,0.00999125,1,3,6,3,6,9,6,5,6,5
"DVIT_856",0.173625,1.09088,3.64589,-2.08734,17.5678,-51.1741,107.12,40.8568,0.05255,0.0181435,0.0132387,0.0067325,0.0032725,1,3,5,3,4,7,5,2,5,2
"DVIT_860",0.1985,1.08387,7.03493,3.28992,9.14473,21.175,11.5101,26.7208,0.008984,0.0253912,0.00907137,0.0001075,0.00844,1,4,6,3,3,5,5,2,5,2
"DVIT_878",0.16,1.047,-7.12064,-9.9848,9.11106,118.942,87.1103,26.3185,-0.081225,0.0276825,0.068625,0.009075,0.0113,0,3,5,2,5,8,6,4,6,4
"DVIT_894",0.22475,1.06888,13.2369,1.54064,-5.21446,30.778,-9.52921,30.7857,-0.0211013,-0.0204162,0.0125988,0.01139,-0.0133251,1,3,5,3,5,8,5,4,5,4
"DVIT_895",0.2185,1.08575,0.0236543,-0.021066,9.05577,62.9447,84.2315,20.9622,-0.0804625,0.0355787,0.058075,0.001185,0.00476625,1,3,6,3,4,6,5,4,5,4
"DVIT_909",0.31,1.141,25.28,14.2452,16.0129,-128.943,15.1518,-18.7343,0.0715625,-0.02075,0.0332288,-0.003895,-0.00194375,0,3,5,2,5,7,2,1,2,1
"DVIT_910",0.2455,1.06862,-3.44078,-1.02013,7.40711,18.6421,88.9624,14.9884,-0.010325,-0.0176926,0.0235625,0.00480625,0.00109,0,3,5,2,5,7,2,1,2,1
"DVIT_911",0.197375,1.09163,13.0902,15.8703,22.8242,25.6797,80.077,13.9711,-0.00759625,-0.0251625,0.0433399,0.00981125,0.0084625,0,3,5,2,5,7,2,1,2,1
"DVIT_913",0.288375,1.13625,19.1658,13.3197,19.7661,-140.244,69.8976,16.2829,0.103002,0.01617,0.022985,0.0145437,-0.00708375,0,3,5,2,5,7,2,1,2,1
"DVIT_914",0.253875,1.12175,14.8041,-0.450291,13.4562,-26.3421,66.4444,36.2419,0.00363225,0.0354862,0.002225,0.0270075,0.00014125,0,3,5,2,5,7,2,1,2,1
"DVIT_915",0.32425,1.14637,37.8624,13.1665,10.5545,-207.188,49.99,15.3907,0.053325,0.0154175,-0.00374,-0.0335013,-0.01329,0,3,5,2,5,7,2,1,2,1
"DVIT_919",0.288375,1.07975,14.4083,4.13118,22.3867,-90.353,77.9888,-13.5457,0.0004375,0.03029,0.0255175,0.0165462,0.00121625,1,3,6,2,6,9,4,2,4,2
"DVIT_930",0.272625,1.07488,-7.82125,13.8184,0.746565,-113.407,92.2281,2.93251,0.0867875,-0.00303125,0.00227375,0.0166063,-0.00692825,1,4,6,3,6,8,3,1,3,1
"DVIT_942",0.14975,1.06425,13.3704,9.96517,9.24001,132.457,41.6677,-0.581206,-0.06625,0.0513562,0.0275,-0.00408375,-0.00441125,1,3,6,3,5,8,3,3,5,3
"DVIT_943",0.237375,1.1515,11.1075,13.7531,-9.30761,-203.305,-66.6739,-20.4588,0.134563,0.0105987,-0.004545,-0.0392825,-0.00793875,1,4,6,3,4,6,3,1,5,3
"DVIT_947",0.19475,1.1235,18.6897,5.90586,3.5125,68.9885,-61.7885,19.1813,-0.07995,-0.0581625,-0.0049175,0.00023,0.00915438,1,3,5,2,5,7,5,3,5,3
"DVIT_948",0.247,1.105,30.8529,-5.1343,-5.09607,-138.439,-131.055,20.2364,0.00666875,-0.00556375,-0.0546863,-0.0508875,0.0135013,0,2,5,2,5,7,2,1,4,2
"DVIT_949",0.257125,1.08,28.509,-6.35068,-4.37296,-157.745,-60.3612,5.08282,0.01975,0.0165537,-0.0519875,-0.026375,0.0016625,0,2,5,2,5,7,2,1,4,2
"DVIT_950",0.3,1.13775,-12.3391,5.6538,0.507394,-218.023,-83.9111,12.1119,0.14625,-0.0106203,0.0114525,-0.02648,0.009985,0,3,5,2,5,7,2,1,2,1
"DVIT_954",0.2225,1.13563,27.3324,0.0130152,5.09034,-52.1984,-15.0535,20.494,0.0083125,0.02262,-0.0067325,-0.00728413,-0.0102349,0,2,5,3,4,6,5,3,5,3
"DVIT_967",0.37275,1.1295,6.74305,-2.56127,0.051122,-204.614,-70.6343,-11.7296,0.092375,0.0240025,0.0095625,0.00463625,0.0102688,0,2,5,2,5,8,1,0,3,1
"DVIT_968",0.321125,1.10987,7.74336,5.94848,9.39923,-165.674,-10.392,12.4785,0.106963,-0.010145,0.04795,0.00813125,0.0173325,0,2,5,2,5,8,1,0,3,1
"DVIT_973",0.215625,1.11213,-0.743538,21.2169,12.6006,-103.367,104.483,50.6009,0.0525,0.0101239,-0.00229,0.019938,-0.00821656,2,4,6,3,6,9,3,0,3,2
"DVIT_979",0.229125,1.09763,2.07419,11.7868,15.6213,-76.072,28.0854,6.02933,0.0312625,-0.017375,0.0180994,0.00769875,0.0284,1,4,6,3,5,8,5,2,5,2
"DVIT_980",0.223625,1.07275,-4.61427,-0.238983,2.61355,25.8289,27.0171,-0.217121,-0.0335875,-0.0144014,0.00453625,0.0114925,0.02328,1,4,6,3,5,8,5,2,5,2
"DVIT_991",0.2955,1.13963,4.73182,0.538614,14.5622,-162.218,82.7264,9.17643,0.0788375,-0.0173532,0.0291225,0.01445,0.00714625,0,3,5,2,5,8,1,0,4,3
"DVIT_995",0.23075,1.045,0.651167,6.68985,21.5368,-84.4852,108.116,-7.67121,0.147062,-0.00507237,0.020755,0.0177912,-0.0230588,1,3,5,3,6,9,3,1,3,1
